X,Y,OBJECTID,DESCRIPTION,IDENTIFIER,LATITUDE,LONGITUDE
-86.203435738876834,39.788035357603619,17064,16th St & Belleview Pl,12010,397880278,-862034306
-86.206158539699388,39.78800575750639,17065,16th St & Warman Ave,12011,397879982,-862061534
-86.208269040339346,39.787980257404733,17066,16th St & Sharon Ave,12013,397879727,-862082639
-86.210876341111188,39.787957757302948,17067,16th St & Kessler Blvd N Dr,12014,397879502,-862108712
-86.213575641956822,39.787929357086398,17068,16th St & Centennial St,12015,397879218,-862135705
-86.216467142695691,39.787906157007221,17069,16th St & Tibbs Ave,12016,397878986,-862164620
-86.218449443322854,39.787851556909978,17070,16th St & Berwick Ave,12017,397878440,-862184443
-86.221038344078011,39.787805656750017,17071,16th St & Rochester Ave,12018,397877981,-862210332
-86.223330544761467,39.787752556622578,17072,16th St & Livingston Ave,12020,397877450,-862233254
-86.227538946072841,39.787694756353226,17073,16th St & Olin Ave,12021,397876872,-862275338
-86.231853247195005,39.787625856128749,17074,16th St - 4650 W,12022,397876183,-862318481
-86.240939149913288,39.787476555642144,17075,16th St & Main St,12023,397874690,-862409340
-86.244112550834231,39.787430855444164,17076,16th St & Auburn St,12024,397874233,-862441074
-86.247317051752105,39.787389955347741,17077,16th St & Winton Ave,12026,397873824,-862473119
-86.251206053669335,39.796604256851708,17078,22nd St & Lynhurst Dr,12030,397965967,-862512009
-86.254197954522908,39.796339856647258,17079,22nd St & White Oaks Dr,12031,397963323,-862541928
-86.255159454776049,39.795791556516882,17080,Woolco Ln & 22nd St,12032,397957840,-862551543
-86.258055755802474,39.79696265657585,17081,22nd St & Kohl's - 5600W,12033,397969551,-862580506
-86.261193756753215,39.798690456691837,17082,Shopping Center Dr & Kroger - 5700 W,12034,397986829,-862611886
-86.26473925801929,39.801160657016389,17083,Parkwood Dr & 25th St,12035,398011531,-862647341
-86.264771458248092,39.803129357372079,17084,Parkwood Dr & Schoolwood Dr,12036,398031218,-862647663
-86.262172457584484,39.804065657632364,17085,Meadowood Dr & Schoolwood Dr,12037,398040581,-862621673
-86.258235156349343,39.803705157720231,17086,Meadowood Dr & Private Dr,12039,398036976,-862582300
-86.255693855711939,39.805129058111618,17087,Moller Rd & Beauport Rd,12040,398051215,-862556887
-86.255758856001663,39.807595658602942,17088,Moller Rd & 29th St,12041,398075881,-862557537
-86.255819456245831,39.810665059165892,17089,Moller Rd & Patricia St,12042,398106575,-862558143
-86.255884356516489,39.813669659741876,17090,Moller Rd & 32nd St,12043,398136621,-862558792
-86.255928956771498,39.816908860308658,17091,Moller Rd & 34th St,12044,398169013,-862559238
-86.25603345708798,39.820034260879645,17092,Moller Rd & Dunk Dr,12045,398200267,-862560283
-86.256063657317029,39.821960061219926,17093,Moller Rd & Ruskin Pl W,12046,398219525,-862560585
-86.256110057595038,39.825044361754635,17094,Moller Rd & Shopping Center Dr,12047,398250368,-862561049
-86.25612955774956,39.826771162146322,17095,Moller Rd - Meijer - 3912 N,12048,398267636,-862561244
-86.255316057780149,39.830055062788148,17096,Moller Way & Moller Rd,12049,398300475,-862553109
-86.256287958198769,39.832993663297145,17097,Moller Rd & 43rd St,12051,398329861,-862562828
-86.25492395750679,39.829443362725009,17098,Moller Way & Pike Plaza Rd,12058,398294358,-862549188
