OBJECTID,PARCEL_TAG,PARCEL_I,PARCEL_C,STREETADDRESS,CITY,ID,UTILITY_ST,USPS_VACANCY,TAX_DELINQUENT,SURPLUS,REPAIR_ORDER,DEMO_ORDER,IMPROVEMENT,SOURCE,SHAPEAREA,SHAPELEN
3989,1063171,1061562,1061562,1317 CHARLES ST,INDIANAPOLIS,53955,0,1,1,0,1,0,1,MO,6070.30766769317,433.87877176413
3990,1007717,1032481,1032481,3125 N GLADSTONE AVE,INDIANAPOLIS,241613,0,1,1,0,0,0,1,MO,5226.32881390275,346.013104259531
3991,1309869,4009014,4009014,4386 N AUDUBON RD,INDIANAPOLIS,60706,0,1,1,0,0,0,1,MO,7097.35178779764,361.448020939233
3992,1000616,1070210,1070210,2322 E 36TH ST,INDIANAPOLIS,239308,1,0,0,1,0,0,0,MO,2632.65436187384,203.155236317606
3993,1272017,9016864,9016864,1315 N SOMERSET AVE,INDIANAPOLIS,163524,0,1,1,0,0,0,1,MO,5182.53069176097,343.791828870118
3994,1178081,7029890,7029890,3426 LOMBARDY PL,INDIANAPOLIS,294810,1,1,1,0,0,0,1,MO,7057.63677932738,355.173051622542
3995,1014067,1051277,1051277,555 UDELL ST,INDIANAPOLIS,210088,1,0,1,1,0,0,0,MO,1935.00537279642,176.00054794287
3996,1032955,1053572,1053572,1318 N KEYSTONE AVE,INDIANAPOLIS,77909,1,1,1,0,0,0,1,MO,6000.00166085881,380.001283047451
3997,1178851,7037221,7037221,10544 MOQUI CT,INDIANAPOLIS,329633,1,1,1,0,0,0,1,MO,27484.0243058244,714.102421287939
3998,1245108,8019072,8019072,4630 RALSTON AVE,INDIANAPOLIS,73771,0,1,1,0,0,0,1,MO,4993.81842693858,325.601261750997
3999,1068951,1098585,1098585,1838 DAYTON AVE,INDIANAPOLIS,240245,1,1,1,0,0,0,1,MO,6089.70476053545,321.665363564132
4000,1325607,1001754,1001754,606 E TROY AVE,INDIANAPOLIS,21548,0,1,1,0,0,0,1,MO,8164.36796666388,404.765087119123
4001,1047450,1003512,1003512,239 N STATE AVE,INDIANAPOLIS,90050,0,1,1,0,0,0,1,MO,5460.44265266339,337.313026904621
4002,1229764,8040446,8040446,6124 WOODSIDE DR,INDIANAPOLIS,134000,0,1,1,0,0,0,1,MO,15298.6889217758,519.980076823916
4003,1019547,1057479,1057479,2401 WHEELER ST,INDIANAPOLIS,11309,0,1,1,0,0,0,1,MO,10841.7486736216,431.045013135435
4004,1009996,1074640,1074640,3506 E 30TH ST,INDIANAPOLIS,340206,1,0,1,1,0,0,0,MO,5457.2498806541,363.794596359424
4005,1191512,7019561,7019561,1424 N SHERIDAN AVE,INDIANAPOLIS,9833,1,1,1,0,0,0,1,MO,6790.98964682755,373.340527220121
4006,1025361,1060512,1060512,2948 BROOKSIDE AVE,INDIANAPOLIS,100459,1,1,1,0,0,0,1,MO,9106.03412253481,535.379353586532
4007,1007747,1023550,1023550,3134 N PARK AVE,INDIANAPOLIS,1626,0,1,1,0,0,0,1,MO,8514.80989071837,392.012850262258
4008,1119145,4011123,4011123,5230 DANIEL DR,INDIANAPOLIS,159981,1,1,1,0,1,0,1,MO,15406.6656906196,534.861233689348
4009,1012390,1053073,1053073,1050 W 29TH ST,INDIANAPOLIS,202219,0,1,1,0,0,0,1,MO,5633.76396848488,340.392552357065
4010,1319673,1034357,1034357,1215 N BANCROFT ST,INDIANAPOLIS,271830,0,1,1,0,0,0,1,MO,6121.10317307394,344.830334280371
4011,1006726,1093023,1093023,3203 BROUSE AVE,INDIANAPOLIS,80884,0,1,1,1,0,0,0,MO,6681.98615915654,367.063831823391
4012,1017168,1065325,1065325,2528 N OLNEY ST,INDIANAPOLIS,69255,0,1,1,1,0,0,0,MO,3749.85802026877,250.01035535497
4013,1032610,1043325,1043325,1331 N PARKER AVE,INDIANAPOLIS,14051,1,1,1,0,0,0,1,MO,6080.00152960428,384.000121672399
4014,1068865,1048529,1048529,1831 SINGLETON ST,INDIANAPOLIS,261999,1,1,1,0,0,0,1,MO,5114.5945497719,347.24398034723
4015,1162599,6004993,6004993,6450 GUION RD,INDIANAPOLIS,12748,1,0,1,0,0,0,1,MO,49759.5290280115,906.299673068979
4016,1026719,1082336,1082336,1930 CORNELL AVE,INDIANAPOLIS,212662,1,0,1,0,0,0,0,MO,5010.33781938431,341.18607611887
4017,1279866,9019190,9019190,434 N TIBBS AVE,INDIANAPOLIS,320157,1,1,1,1,0,0,1,MO,4423.35305281085,328.221187616344
4018,1033524,1051704,1051704,1301 N EWING ST,INDIANAPOLIS,294770,1,0,1,1,1,0,1,MO,6011.9688658272,340.199106040017
4019,1026437,1010723,1010723,1930 N LASALLE ST,INDIANAPOLIS,41469,0,1,1,0,0,0,1,MO,5399.53144220138,349.980311845285
4020,1045338,1015120,1015120,309 N TACOMA AVE,INDIANAPOLIS,284977,1,1,1,0,0,0,1,MO,8750.85380093639,390.021045863087
4021,1270135,9003508,9003508,3608 W 16TH ST,INDIANAPOLIS,234984,1,1,1,0,1,0,1,MO,5600.29555006467,360.029084640959
4022,1039485,1042171,1042171,813 N KEYSTONE AVE,INDIANAPOLIS,115966,1,1,1,0,0,0,1,MO,7008.89258553037,412.004039532927
4023,1059484,1066853,1066853,1256 STANDARD AVE,INDIANAPOLIS,137310,0,1,1,0,0,0,0,MO,3489.11059995807,254.819037313127
4024,1031374,1015665,1015665,1513 COLUMBIA AVE,INDIANAPOLIS,328829,1,1,1,0,0,0,0,MO,7216.09301796484,417.879561044104
