OBJECTID,STREETNAME,COUNTY,TOWNSHIP,PHOTOYEAR,CONDITION,SHAPELEN
282,EGRET CT,MARION,WASHINGTON,2008, ,481.266406394742
283,EGRET LN,MARION,WASHINGTON,2008, ,146.832143339536
284,DOWITCH CT,MARION,WASHINGTON,2008, ,111.760258708313
285,DOWITCH LN,MARION,WASHINGTON,2008, ,538.690004684347
286,DOWITCH CT,MARION,WASHINGTON,2008, ,147.588098968796
287,DOWITCH LN,MARION,WASHINGTON,2008, ,521.652754556543
288,DOWITCH CT,MARION,WASHINGTON,2008, ,263.911178216614
289,NA,MARION,WASHINGTON,2008, ,166.59082451968
290,NA,MARION,WASHINGTON,2008, ,188.592341424538
291,CLUB HOUSE RD,MARION,WASHINGTON,2008, ,118.126092503035
292,NA,MARION,WASHINGTON,2008, ,218.511898167806
293,UNKNOWN,MARION,WASHINGTON,2008, ,170.14534526929
294,WELCHWOOD DR,MARION,WASHINGTON,2008, ,585.766379553809
295,80TH ST,MARION,WASHINGTON,2008, ,170.139790168566
296,SILVERLEAF DR,MARION,WASHINGTON,2008, ,659.004243345634
297,WELCHWOOD CIR,MARION,WASHINGTON,2008, ,393.796817530103
298,WELCHWOOD CIR,MARION,WASHINGTON,2008, ,227.505427189555
299,SILVERLEAF DR,MARION,WASHINGTON,2008, ,335.418078954444
300,SILVERLEAF DR,MARION,WASHINGTON,2008, ,82.2098093496998
301,80TH ST,MARION,WASHINGTON,2008, ,138.354253459774
302,STONEHINGE CIR,MARION,WASHINGTON,2008, ,301.879923856672
303,STONEHINGE CT N,MARION,WASHINGTON,2008, ,540.591363521563
304,STONEHINGE CT S,MARION,WASHINGTON,2008, ,546.891319335434
305,STAFFORD CT,MARION,WASHINGTON,2008, ,697.136348673523
306,TAUNTON RD,MARION,WASHINGTON,2008, ,827.451052504129
307,TAUNTON RD,MARION,WASHINGTON,2008, ,813.63107693189
308,HOOVER LN,MARION,WASHINGTON,2008, ,374.99060638186
309,HOOVER LN,MARION,WASHINGTON,2008, ,686.018657579241
310,HOOVER LN,MARION,WASHINGTON,2008, ,354.234683850939
311,STOCKTON ST,MARION,WASHINGTON,2008, ,968.984154142657
312,STOCKTON ST,MARION,WASHINGTON,2008, ,1000.16177711981
313,STOCKTON ST,MARION,WASHINGTON,2008, ,345.699266888422
314,STOCKTON ST,MARION,WASHINGTON,2008, ,755.905729004071
315,DARTMOUTH RD,MARION,WASHINGTON,2008, ,347.925805915355
316,DARTMOUTH RD,MARION,WASHINGTON,2008, ,346.605597215758
317,STOCKTON ST,MARION,WASHINGTON,2008, ,595.593173015682
318,STOCKTON ST,MARION,WASHINGTON,2008, ,619.87165391447
319,STOCKTON CT,MARION,WASHINGTON,2008, ,404.819662616759
320,DELBROOK DR,MARION,WASHINGTON,2008, ,303.099375769935
321,DELBROOK CIR,MARION,WASHINGTON,2008, ,860.885420233337
322,HARFIELD DR,MARION,WASHINGTON,2008, ,677.153930714624
323,WELCHWOOD DR,MARION,WASHINGTON,2008, ,907.100719614935
324,NA,MARION,WASHINGTON,2008, ,417.414492821393
325,UNKNOWN,MARION,WASHINGTON,2008, ,739.410791097799
326,ROLLS DR,MARION,PIKE,2008, ,366.172848447659
327,ROLLS DR,MARION,PIKE,2008, ,349.425294173012
328,MERCEDES DR,MARION,PIKE,2008, ,249.507387507503
329,PORSCHE DR,MARION,PIKE,2008, ,231.237615502668
330,PORSCHE DR,MARION,PIKE,2008, ,250.290120002954
331,MERCEDES DR,MARION,PIKE,2008, ,224.290147531944
332,BLUE JAY CT,MARION,WASHINGTON,2008, ,114.467679614301
333,BLUE JAY CT,MARION,WASHINGTON,2008, ,143.59917865989
334,BLUE JAY LN,MARION,WASHINGTON,2008, ,519.409795590957
335,BLUE JAY LN,MARION,WASHINGTON,2008, ,534.354084546998
336,BLUE JAY CT,MARION,WASHINGTON,2008, ,268.90941436032
337,MORAY CT W,MARION,WASHINGTON,2008, ,481.131203935653
338,DUNBARTON CT E,MARION,WASHINGTON,2008, ,439.576710252758
339,MORAY CT E,MARION,WASHINGTON,2008, ,514.603332707519
340,DUNBARTON CT W,MARION,WASHINGTON,2008, ,382.584578511273
341,BRYCE MANOR DR,MARION,WASHINGTON,2008, ,169.653572659694
342,MORAY CT W,MARION,WASHINGTON,2008, ,435.940887187868
343,MORAY CT E,MARION,WASHINGTON,2008, ,447.688461261909
344,LARKFIELD CT,MARION,WASHINGTON,2008, ,398.139589290159
345,LARKFIELD CT,MARION,WASHINGTON,2008, ,348.554478969276
346,LARKFIELD CT,MARION,WASHINGTON,2008, ,164.791665166667
347,LARKFIELD CT,MARION,WASHINGTON,2008, ,167.222813370962
658,TRAM CT,MARION,WASHINGTON,2008, ,79.4681948204138
659,TRAM CT,MARION,WASHINGTON,2008, ,822.859957858218
660,CRANDALL CIR,MARION,WASHINGTON,2008, ,362.920248750162
661,CRANDALL CIR,MARION,WASHINGTON,2008, ,103.718050554138
662,65TH ST,MARION,WASHINGTON,2008, ,721.985034094184
663,65TH ST,MARION,WASHINGTON,2008, ,102.587779780453
664,65TH ST,MARION,WASHINGTON,2008, ,162.136392318606
665,SCENIC CT,MARION,WASHINGTON,2008, ,1025.10217711032
666,HORIZON LN,MARION,WASHINGTON,2008, ,1285.63960526114
667,HORIZON LN,MARION,WASHINGTON,2008, ,1313.75864328026
668,HORIZON LN,MARION,WASHINGTON,2008, ,316.101860914751
669,HORIZON LN,MARION,WASHINGTON,2008, ,336.689862423409
670,HORIZON CT,MARION,WASHINGTON,2008, ,1023.55109341454
671,GRANDVIEW DR,MARION,WASHINGTON,2008, ,116.80303800459
672,GRANDVIEW DR,MARION,WASHINGTON,2008, ,595.022056512817
673,INDIGO WAY,MARION,WASHINGTON,2008, ,275.216456664816
674,PARK CENTRAL WAY,MARION,WASHINGTON,2008, ,243.072479551784
675,HOOVER VILLAGE DR,MARION,WASHINGTON,2008, ,282.440994824784
676,PARK CENTRAL WAY,MARION,WASHINGTON,2008, ,278.542190119433
677,INDIGO WAY,MARION,WASHINGTON,2008, ,261.365354462592
678,STONY RIDGE WAY,MARION,WASHINGTON,2008, ,414.036107291789
679,HOOVER VILLAGE DR,MARION,WASHINGTON,2008, ,294.314736702508
680,KENNEDY LN,MARION,WASHINGTON,2008, ,200.693812577992
681,LINCOLNWOOD LN,MARION,WASHINGTON,2008, ,221.825938421322
682,LINCOLNWOOD LN,MARION,WASHINGTON,2008, ,178.13660031369
683,ANTIQUE CT,MARION,WASHINGTON,2008, ,213.955696138342
684,PARK CENTRAL DR N,MARION,WASHINGTON,2008, ,645.366167380054
860,NA,MARION,WAYNE,2007, ,402.146389544556
861,NA,MARION,WAYNE,2007, ,181.68764989418
862,NA,MARION,WAYNE,2007, ,136.114290361135
863,PARK AVE,MARION,CENTER,2007, ,586.012761447837
864,COLLEGE AVE,MARION,CENTER,2007, ,911.985721012901
865,CARROLLTON AVE,MARION,CENTER,2007, ,570.395111547647
866,NA,MARION,WAYNE,2007, ,581.844448308427
867,NA,MARION,WAYNE,2007, ,544.66996258678
868,WHITE OAKS DR,MARION,WAYNE,2007, ,516.091629763054
869,NA,MARION,WAYNE,2007, ,1185.10561526382
870,NA,MARION,WAYNE,2007, ,628.104902950407
871,NA,MARION,WAYNE,2007, ,906.682223304242
872,NA,MARION,WAYNE,2007, ,375.917167202689
873,NA,MARION,WAYNE,2007, ,347.560328339999
874,NA,MARION,WAYNE,2007, ,356.443836361741
875,NA,MARION,WAYNE,2007, ,459.347362459693
876,NA,MARION,WAYNE,2007, ,260.581654335227
877,NA,MARION,WAYNE,2007, ,438.24236597876
